"x","y","land_area","current_protection","CA_restricted_species","species","OTUs","chronogram","phylogram","cladogram"
-367500,247500,0.15,1,1904,1887,1900,1906,1933,1929
-367500,262500,0.67,0.435074626865672,1080,1051,980,867,993,897
-367500,277500,0.82,0,434,44,15,10,14,12
-367500,292500,0.55,0.0318181818181818,186,11,11,7,8,9
-367500,307500,0.09,0.291666666666667,587,293,221,229,196,336
-352500,232500,0.14,1,1909,1917,1931,1923,1922,1880
-352500,247500,0.89,0.746067415730337,1511,1678,1644,1590,1587,1601
-352500,262500,1,0.0175,392,257,131,73,181,104
-352500,277500,1,0.0675,600,149,39,18,58,47
-352500,292500,1,0.0595,944,380,143,79,111,151
-352500,307500,0.94,0.0609042553191489,252,34,13,12,10,18
-352500,322500,0.47,0.0531914893617021,468,128,171,181,29,240
-352500,337500,0.14,0.0267857142857143,874,244,112,36,15,220
-352500,352500,0.25,0.07,796,8,4,2,3,3
-352500,367500,0.01,0,561,5,2,1,2,2
-352500,412500,0.01,1,1913,1940,1902,1941,1937,1941
-352500,427500,0.44,0.194886363636364,1412,47,21,65,41,55
-352500,442500,0.31,0.0846774193548387,1251,88,35,144,103,88
-337500,217500,0.44,0.744886363636364,1687,1643,1565,1522,1527,1554
-337500,232500,0.96,0.304166666666667,850,806,530,448,548,476
-337500,247500,1,0.135,626,476,200,176,256,161
-337500,262500,1,0.68075,1393,1493,1316,1243,1313,1311
-337500,277500,1,0.04125,723,203,64,28,85,59
-337500,292500,1,0.105,528,80,20,9,16,16
-337500,307500,1,0.01025,209,19,5,5,6,4
-337500,322500,1,0.01275,347,23,10,6,5,7
-337500,337500,1,0.0225,636,30,7,4,4,8
-337500,352500,1,0.38,1321,529,249,112,159,373
-337500,367500,0.92,0.64945652173913,1558,1184,793,594,707,981
-337500,382500,0.73,0.556164383561644,1263,710,330,280,328,584
-337500,397500,0.73,0.277054794520548,910,180,46,43,55,111
-337500,412500,0.95,0.542105263157895,838,401,364,472,425,527
-337500,427500,1,0.635,997,582,584,700,629,767
-337500,442500,0.96,0.375,590,117,86,166,146,166
-322500,97500,0.09,0,55,21,25,17,174,38
-322500,112500,0.42,0.0869047619047619,79,41,80,70,244,139
-322500,127500,0.39,0.0769230769230769,111,72,38,22,186,69
-322500,142500,0.73,0.287671232876712,168,112,141,95,355,264
-322500,157500,0.9,0.302777777777778,374,347,468,402,615,610
-322500,172500,0.71,0.112676056338028,35,12,14,11,89,21
-322500,187500,0.65,0.0115384615384615,144,55,29,20,69,24
-322500,202500,0.9,0.1925,766,574,379,265,371,321
-322500,217500,1,0.4685,1228,1317,1082,932,1010,998
-322500,232500,1,0.077,513,395,186,143,201,137
-322500,247500,1,0.04125,470,310,114,107,165,89
-322500,262500,1,0.077,379,183,74,86,133,61
-322500,277500,1,0.1005,322,120,52,41,92,34
-322500,292500,1,0.06,260,94,31,24,46,22
-322500,307500,1,0.059,307,69,18,14,22,13
-322500,322500,1,0,443,59,12,8,11,11
-322500,337500,1,0.17275,700,144,43,21,35,39
-322500,352500,1,0.242,887,270,104,53,79,124
-322500,367500,1,0.199,799,192,77,29,49,96
-322500,382500,1,0.33375,750,218,120,90,126,182
-322500,397500,1,0.67225,961,650,673,760,815,862
-322500,412500,1,0.735,1177,891,903,955,1019,1061
-322500,427500,1,0.7275,1068,748,815,905,900,1016
-322500,442500,0.9,0.733333333333333,1142,822,957,978,1051,1093
-307500,82500,0.13,0,108,163,238,164,398,231
-307500,97500,0.87,0.169540229885057,507,770,634,477,565,460
-307500,112500,1,0.2105,682,610,347,285,407,305
-307500,127500,1,0.02375,573,413,183,131,218,131
-307500,142500,1,0.0775,304,133,53,33,116,44
-307500,157500,1,0.29875,985,849,427,310,476,431
